Type,Name,Company,Title
Keynote,Raymond Svider,TorQuest Partners,Founder & Managing Partner
Keynote,Christopher Merrill,Harrison Street,Co-Founder & Global Chief Executive Officer
Keynote,Brent S. Belzberg,TorQuest Partners,Founder & Senior Executive Chairman
Keynote,Kirkland B. Andrews,The ODP Corporation,Chief Financial Officer
Speaker,Alexander Laird,CVC Capital Partners,Managing Director
Speaker,Alexandre Décary,CDPQ,"Vice President, Private Equity, Americas & Asia Pacific"
Speaker,Alexis Underwood,Wynnchurch Capital,Managing Director
Speaker,Ayanna Clunis,TPG,"Partner, Head of Operations"
Speaker,Benjamin Blum,Flexpoint Ford,Managing Director
Speaker,Bradley Smith,PPC,Tax Director
Speaker,Charles Stones,Audax Group,"Senior Vice President, Tax Counsel"
Speaker,Chris Harlan,BayPine,Operating Partner
Speaker,Christopher Satchell,"Clayton, Dubilier & Rice","Managing Director, Technology"
Speaker,David Allocco,Ares Management,Partner
Speaker,Elizabeth Breaden,Covenant Trust,"Vice President, Head of Investments"
Speaker,Elshad Garayev,Fort Worth Employees' Retirement Fund,Chief Financial Officer
Speaker,Eric Levin,GCM Grosvenor,Chief Technology Officer
Speaker,Evan Frasier,Marquette Associates,"Member of Investment Committee, Global Equities"
Speaker,Jeffrey Akers,Adams Street Partners,Partner & Head of Secondary Investments
Speaker,Jesse Burwell,Liberty Strategic Capital,Chief Financial Officer
Speaker,Jian Zhang,Adams Street Partners,"Partner, Investment Strategy & Risk Management"
Speaker,Jim Coleman,AEA Investors,Operating Partner
Speaker,Katherine Bryan,Madison Dearborn,"Director, Associate General Counsel & Chief Compliance Officer"
Speaker,Michael Dolce,Madison Dearborn Partners,"Partner, Head of Capital Markets"
Speaker,Michael Reiss,Apollo Global Management,Partner
Speaker,Peter Yordan,J.C. Flowers & Co.,Managing Director
Speaker,Samantha Gordon Webb,Revelstoke Capital Partners,Partner
Speaker,Sonia Lopez,Trivest Partners,Chief Compliance Officer
Speaker,Tyler Craig,OMERS Private Equity,Managing Director
Speaker,Vahe Dombalagian,Madison Dearborn,Managing Partner & Co-Head of Financial Services Team
