speaker_first_name,speaker_last_name,speaker_title,company_name,speaker_linkedin,talk_title,event_name,event_date,event_location,website,city,state
Ho Kwon,Ping,Founder & Executive Chairman,Banyan Group,,Risk & Resilience,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore,,Singapore,
Miguel,Fonseca,CEO,EDP Renewables APAC,,Energy & Growth,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore,,Singapore,
Maheep,Jain,Managing Director,Macquarie Capital Infrastructure Principal,,Energy & Growth,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore,,Singapore,
Esther,An,Chief Sustainability Officer,City Developments Limited,,Strategic Advantage,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore,,Singapore,
Maurizio,Brusadelli,EVP & President Asia Pacific Middle East and Africa,Mondelēz International,,Strategic Advantage,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore,,Singapore,
Kelvin,Chiu,Founder & Principal,Silverstrand Capital,,Energy & Growth,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore,,Singapore,
Piyush,Gupta,Chief Executive Officer,DBS Group,,Strategic Advantage,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore,,Singapore,
Jacqueline,Lam,Regional Lead Southeast Asia Global Sustainability Policy and Partnerships,Boeing International,,Risk & Resilience,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore,,Singapore,
Amita,Chaudhury,Group Head of Sustainability,AIA,,Strategic Advantage,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore,,Singapore,
Peck,Khamkanist,Founder & CEO,Impact Electrons Siam,,Energy & Growth,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore,,Singapore,
Eugenia,Koh,Global Head Sustainable Finance Consumer Private & Business Banking,Standard Chartered Bank,,Strategic Advantage,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore,,Singapore,
Loh Boon,Chye,Chief Executive Officer,SGX Group,,Strategic Advantage,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore,,Singapore,
Isao,Sekiguchi,President,Nissan ASEAN,,Energy & Growth,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore,,Singapore,
