speaker_first_name,speaker_last_name,speaker_title,company_name,category,event_name,event_date,event_location
Deepali,Bhargava,Head of Research & Chief Economist Asia-Pacific,ING,External Speaker,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Genevieve,Chua,CEO,OVOL Singapore,External Speaker,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Ho Kwon,Ping,Founder & Executive Chairman,Banyan Group,External Speaker,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
David,Fogarty,CEO & Executive Director,UN Global Compact Network Singapore,External Speaker,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Len,George,Principal Energy Specialist,Asian Development Bank,External Speaker,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Vandana,Hari,Founder & CEO,Vanda Insights,External Speaker,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Maheep,Jain,Managing Director,Macquarie Capital Infrastructure Principal,External Speaker,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Mongkhol,Jandakaew,Founder & CEO,GeoAgni,External Speaker,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Parag,Khanna,Founder & CEO,AlphaGeo,External Speaker,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Niramarn,Laisathit,Executive Director & Senior Executive Vice President,Bangkok Bank,External Speaker,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Lim Kwang,Ming,Chief Financial & Investment Officer Gas & Related Services,Sembcorp Industries,External Speaker,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Audra,Low,CEO,Clifford Capital Credit Solutions,External Speaker,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Ravi,Menon,Ambassador for Climate Action & Senior Adviser National Climate Change Secretariat,Singapore Government,External Speaker,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Francisco,Pérez Mackenna,Minister of Foreign Affairs,Government of Chile,External Speaker,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Anne,Pham,Deputy CEO Investment,VinFast,External Speaker,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Kok Keong,Puah,Chief Executive,Energy Market Authority of Singapore,External Speaker,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Tulika,Raj,Co-Founder & CEO,SunGreen,External Speaker,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Jennifer,Richards,CEO Asia Pacific,Aon,External Speaker,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Meliza M.,Rusli,President Director,Permata Bank,External Speaker,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Benedikt,Signer,CEO,SEADRIF Insurance Company,External Speaker,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Chartsiri,Sophonpanich,President,Bangkok Bank,External Speaker,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Russell,Tham,Head Emerging Technologies,Temasek Global Investments,External Speaker,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Zhaotan,Xiao,Co-Founder & CEO,METHA8,External Speaker,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Rebecca Choong,Wilkins,Asia Government & Economy Correspondent,Bloomberg,Bloomberg Staff,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Caroline,Chua,Asia Pacific Energy Transition & Trade Specialist,BloombergNEF,Bloomberg Staff,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Shaheen,Contractor,Senior ESG Analyst,Bloomberg Intelligence,Bloomberg Staff,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Abby,Danzig,Senior Editor,Bloomberg Live,Bloomberg Staff,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
John,Fraher,Senior Executive Editor & APAC News Co-Lead,Bloomberg,Bloomberg Staff,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Felix,Kosasih,Southeast Asia Associate,BloombergNEF,Bloomberg Staff,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Lucy,Lou,Managing Editor APAC,Bloomberg Media Studios,Bloomberg Staff,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Rosalind,Mathieson,Chief Asia Correspondent,Bloomberg,Bloomberg Staff,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Ishika,Mookerjee,Asia ESG & Climate Reporter,Bloomberg,Bloomberg Staff,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Lili,Pike,China Climate Reporter,Bloomberg,Bloomberg Staff,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Stephen,Stapczynski,Energy Asia Team Leader,Bloomberg,Bloomberg Staff,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
David,Stringer,Managing Editor Climate & ESG Asia,Bloomberg,Bloomberg Staff,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Meg,Szabo,Managing Editor,Bloomberg Live,Bloomberg Staff,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Andrea,Tan,Singapore Bureau Chief,Bloomberg,Bloomberg Staff,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Conrad,Tan,ESG Analyst,Bloomberg Intelligence,Bloomberg Staff,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
Jessica,Zhou,Asia Metals & Mining Team Leader,Bloomberg,Bloomberg Staff,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore
