speaker_first_name,speaker_last_name,speaker_title,company_name,speaker_linkedin,talk_title,event_name,event_date,event_location,website,city,state,category,source_url
Jeff,Suer,Partner,Leonard Green & Partners,,,SuperReturn US West 2026,"September 14–15, 2026","Beverly Hills, CA",,,,speaker,https://informaconnect.com/superreturn-uswest/agenda
Alistair,Lumsden,CEO and Co-CIO,Temporis Capital,,,SuperReturn US West 2026,"September 14–15, 2026","Beverly Hills, CA",,,,speaker,https://informaconnect.com/superreturn-uswest/agenda
John,Richert,Head of Mid-Cap Investment Banking,Global Head of Business Services Investment Banking,,,SuperReturn US West 2026,"September 14–15, 2026","Beverly Hills, CA",,,,speaker,https://informaconnect.com/superreturn-uswest/agenda
Leor,Landa,Partner and Head of Investment Management,Davis Polk,,,SuperReturn US West 2026,"September 14–15, 2026","Beverly Hills, CA",,,,speaker,https://informaconnect.com/superreturn-uswest/agenda
Alessandro,Silvestro,Head of Americas,Fundsight,,,SuperReturn US West 2026,"September 14–15, 2026","Beverly Hills, CA",,,,speaker,https://informaconnect.com/superreturn-uswest/agenda
Rajneesh,Vig,Managing Director,Head of Anchor Bay,,,SuperReturn US West 2026,"September 14–15, 2026","Beverly Hills, CA",,,,speaker,https://informaconnect.com/superreturn-uswest/agenda
Nhora,Otalora,Managing Director,Head of LATAM & West Coast,,,SuperReturn US West 2026,"September 14–15, 2026","Beverly Hills, CA",,,,speaker,https://informaconnect.com/superreturn-uswest/agenda
Dan,Connell,Managing Director,Co-Head of Real Assets and Sustainability,,,SuperReturn US West 2026,"September 14–15, 2026","Beverly Hills, CA",,,,speaker,https://informaconnect.com/superreturn-uswest/agenda
Par,Lindstrom,Co-Founder,CEO & CIO,,,SuperReturn US West 2026,"September 14–15, 2026","Beverly Hills, CA",,,,speaker,https://informaconnect.com/superreturn-uswest/agenda
Rajib,Chanda,Partner,Global Head of Asset Management,,,SuperReturn US West 2026,"September 14–15, 2026","Beverly Hills, CA",,,,speaker,https://informaconnect.com/superreturn-uswest/agenda
