first_name,last_name,title,company_name,event_source,category,event_name,event_date,event_location
Nimish,Panchmatia,Chief Data and Transformation Officer,DBS Bank,SDF Main Programme,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Markham,Cho,VP Government Affairs and Public Policy Centres of Excellence,Google,SDF Main Programme,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Royce,Wee,Privacy and Data Policy Director APAC Advocacy,Meta,SDF Main Programme / IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Denise,Wong,Commissioner PDPC / Assistant Chief Executive IMDA,Personal Data Protection Commission Singapore,SDF Main Programme,Organiser,Singapore Data Festival 2026,20-24 July 2026,Singapore
Ng Cher,Pong,Chief Executive,Infocomm Media Development Authority (IMDA),SDF Main Programme,Organiser,Singapore Data Festival 2026,20-24 July 2026,Singapore
Yeong Zee,Kin,Chief Executive,Singapore Academy of Law,IAPP Asia Forum,Keynote Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Simon,Chesterman,Professor / VP and AI Governance Policy Lead,National University of Singapore (NUS AI Institute),IAPP Asia Forum,Keynote Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Paul,Arnold,CEO,UK Information Commissioner's Office,IAPP Asia Forum,Keynote Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Tsukumo,Mizushima,Commissioner for International Cooperation,Japanese DPA PPC,IAPP Asia Forum,Keynote Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
J. Trevor,Hughes,President and CEO,IAPP,IAPP Asia Forum,Keynote Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Darren Grayson,Chng,Regional Data Protection Director Asia Pacific Middle East and Africa,Electrolux,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Derek,Ho,Deputy Chief Privacy Officer AI and Data Responsibility,Mastercard,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Deborah,Im,Head of Legal APAC,OpenAI,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Wijaya,Abori,Group Data Protection Officer,OCBC Bank,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Bhairav,Acharya,Head of Privacy and Data Policy Asia Pacific Region,Meta,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Lori,Baker,VP Data Protection and Regulatory Compliance,Dubai International Financial Centre (DIFC),IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Bojana,Bellamy,President,Centre for Information Policy Leadership,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Supratim,Chakraborty,Partner Privacy and Data Protection,Khaitan & Co,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Zhuang,Changzhong,VP Global Privacy Lead,Singapore Exchange Limited (SGX),IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Jun,Chu,Head of Privacy and Security Policy APAC,Google,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Ada,Chung,Privacy Commissioner for Personal Data,Office of the Privacy Commissioner for Personal Data Hong Kong,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Brian,Fletcher,Director Public Policy Asia-Pacific and Japan Region,CrowdStrike,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Justine,Fox,Senior Legal Counsel and Global Head of Data Protection,BW Group,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Anna,Gamvros,Partner Privacy and Cybersecurity Lead Asia-Pacific,A&O Shearman,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Evelyn,Goh,Director of International Relations Policy and Strategy,IMDA,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Lanx,Goh,Global Head of Privacy & AI Privacy,Prudential,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Stefan,Herbasch,Regional DPO Asia Pacific,BNP Paribas S.A.,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Ayushi,Kapoor,Regulatory Counsel,Google,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Ivan,Koh,Director Regulatory Policy and Legislation,Ministry of Health Singapore,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Josh Lee Kok,Thong,Managing Director APAC,Future of Privacy Forum,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Damien,Kopp,Managing Director,RebootUp,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Joshua,Kow,Corporate Counsel Privacy & Data,Sony Interactive Entertainment,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Nopparat,Lalitkomon,Partner and Head of Technology Data and Innovation,Kudun and Partners,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Lorraine,Lee,Founder Principal Consultant,NorthStar Data Privacy,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Wan Sie,Lee,Cluster Director AI Governance and Safety,IMDA,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Barbara,Li,Partner,Reed Smith,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Gary,Low,Head of Legal and DPO,Synapxe,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Timothy,Ma,Co-Founder and Chief Legal Officer,k-ID,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Tanvi Mehta,Krensel,Partner,Squire Patton Boggs,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Bilal,Mohamed,Policy Manager for India,Future of Privacy Forum,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Tom,Muadchaiyaphum,VP Risk Control & Compliance,Minor International PCL,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Arran,Mulvaney,Country Manager,OneTrust,IAPP Asia Forum,Speaker / Sponsor,Singapore Data Festival 2026,20-24 July 2026,Singapore
Song Yeong,Ng,Deputy Director Policy and Technology,Singapore Personal Data Protection Commission,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Francis,Ng,Commissioner of Online Safety,Online Safety Commission Singapore,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Aica,Palce-Reago,Senior Legal Counsel Data Protection and Privacy,SAP Philippines,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
Pern Yi,Quah,Associate General Counsel and Asia DPO,McKinsey & Company,IAPP Asia Forum,Speaker,Singapore Data Festival 2026,20-24 July 2026,Singapore
